Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
NAVICENT HEALTH BALDWIN,MILLEDGEVILLE,GA,(478) 454-3550,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
PERRY HOSPITAL,PERRY,GA,(478) 987-3600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
NORTHSIDE HOSPITAL,ATLANTA,GA,(404) 851-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
"COLISEUM MEDICAL CENTERS, LLC, DBA",MACON,GA,(478) 765-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,(770) 991-8160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,(706) 802-3012,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
DOCTORS HOSPITAL,AUGUSTA,GA,(706) 651-6008,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,(770) 949-1500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
FANNIN REGIONAL HOSPITAL,BLUE RIDGE,GA,(706) 632-3711,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
FLINT RIVER COMMUNITY HOSPITAL,MONTEZUMA,GA,(478) 472-3100,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,(678) 604-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
EASTSIDE MEDICAL CENTER,SNELLVILLE,GA,(770) 736-2498,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
DONALSONVILLE HOSPITAL INC,DONALSONVILLE,GA,(229) 524-5217,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Below the national average
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,(770) 751-2500,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
PIEDMONT COLUMBUS REGIONAL NORTHSIDE,COLUMBUS,GA,(706) 494-2101,Acute Care Hospitals,Proprietary,No,3,Not Available,Above the national average,Not Available,Above the national average,Same as the national average
COLISEUM NORTHSIDE HOSPITAL,MACON,GA,(478) 757-8200,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
TURNING POINT HOSPITAL,MOULTRIE,GA,(229) 985-4815,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,(770) 719-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,(706) 301-5269,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
EMORY HILLANDALE HOSPITAL,LITHONIA,GA,(404) 501-8040,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,(770) 400-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
EMORY JOHNS CREEK HOSPITAL,JOHNS CREEK,GA,(678) 474-7000,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,(404) 844-8334,Acute Care Hospitals,Proprietary,No,3,Not Available,Below the national average,Not Available,Above the national average,Below the national average
SGMC BERRIEN CAMPUS,NASHVILLE,GA,(229) 543-7100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHI MEMORIAL HOSPITAL- GEORGIA,FORT OGLETHORPE,GA,(770) 874-5400,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,DAHLONEGA,GA,(770) 219-7146,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Martin ACH (FT Benning),Fort Benning,GA,(762) 408-2604,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Dwight Eisenhower AMC (FT Gordon),Fort Gordon,GA,(706) 787-5811,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Winn ACH (FT Stewart),Fort Stewart,GA,(912) 435-6633,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,CUTHBERT,GA,(229) 732-2181,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BLECKLEY MEMORIAL HOSPITAL,COCHRAN,GA,(478) 934-6211,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
JASPER MEMORIAL HOSPITAL,MONTICELLO,GA,(706) 468-6411,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MORGAN MEDICAL CENTER,MADISON,GA,(706) 342-1667,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MILLER COUNTY HOSPITAL,COLQUITT,GA,(229) 758-4231,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
EFFINGHAM HEALTH SYSTEM,SPRINGFIELD,GA,(912) 754-0160,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CLINCH MEMORIAL HOSPITAL,HOMERVILLE,GA,(912) 487-5211,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",BYRON,GA,(478) 654-2000,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available
JENKINS COUNTY MEDICAL CENTER,MILLEN,GA,(478) 982-4221,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OPTIM MEDICAL CENTER - SCREVEN,SYLVANIA,GA,(912) 564-7426,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
PUTNAM GENERAL HOSPITAL,EATONTON,GA,(706) 485-2711,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
LIFEBRITE COMMUNITY HOSPITAL OF EARLY,BLAKELY,GA,(229) 723-4241,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WARM SPRINGS MEDICAL CENTER,WARM SPRINGS,GA,(706) 655-9351,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MONROE COUNTY HOSPITAL,FORSYTH,GA,(478) 994-2521,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WELLSTAR SYLVAN GROVE HOSPITAL,JACKSON,GA,(770) 775-7861,Critical Access Hospitals,Government - Hospital District or Authority,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HIGGINS GENERAL HOSPITAL,BREMEN,GA,(770) 812-2000,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
OPTIM MEDICAL CENTER - TATTNALL,REIDSVILLE,GA,(912) 557-1000,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
CHATUGE REGIONAL HOSPITAL,HIAWASSEE,GA,(706) 896-2222,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
WILLS MEMORIAL HOSPITAL,WASHINGTON,GA,(706) 678-9212,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
SGMC LANIER CAMPUS,LAKELAND,GA,(229) 482-8402,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BACON COUNTY HOSPITAL,ALMA,GA,(912) 632-8961,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available
PHOEBE WORTH MEDICAL CENTER,SYLVESTER,GA,(229) 777-3851,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST. MARY'S GOOD SAMARITAN HOSPITAL,GREENSBORO,GA,(706) 453-7331,Critical Access Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available
POLK MEDICAL CENTER,CEDARTOWN,GA,(770) 748-2500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MITCHELL COUNTY HOSPITAL,CAMILLA,GA,(229) 336-5284,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BROOKS COUNTY HOSPITAL,QUITMAN,GA,(912) 263-4171,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
JEFF DAVIS HOSPITAL,HAZLEHURST,GA,(912) 375-7781,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Not Available
CANDLER COUNTY HOSPITAL,METTER,GA,(912) 685-5741,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,(912) 369-9438,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average
MOUNTAIN LAKES MEDICAL CENTER,CLAYTON,GA,(706) 782-3100,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
ELBERT MEMORIAL HOSPITAL,ELBERTON,GA,(706) 213-2535,Critical Access Hospitals,Government - Hospital District or Authority,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,ATLANTA,GA,(404) 785-6101,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,ATLANTA,GA,(404) 785-5252,Childrens,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED,LAWRENCEVILLE,GA,(678) 442-5800,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COASTAL HARBOR TREATMENT CENTER,SAVANNAH,GA,(912) 354-3911,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PEACHFORD BEHAVIORAL HEALTH SYSTEM OF ATLANTA,ATLANTA,GA,(770) 455-3200,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIDGEVIEW INSTITUTE,SMYRNA,GA,(770) 434-4567,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WEST CENTRAL GEORGIA REGIONAL HOSPITAL,COLUMBUS,GA,(706) 568-5203,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST SIMONS-BY-THE-SEA,SAINT SIMONS ISLAND,GA,(912) 638-1999,Psychiatric,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GEORGIA REGIONAL HOSPITAL ATLANTA,DECATUR,GA,(404) 243-2100,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GEORGIA REGIONAL HOSP SAVANNAH,SAVANNAH,GA,(912) 356-2045,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
EAST CENTRAL REGIONAL HOSPITAL,AUGUSTA,GA,(706) 792-7006,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,COLLEGE PARK,GA,(770) 991-6044,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIVERWOODS BEHAVIORAL HEALTH SYSTEM,RIVERDALE,GA,(770) 991-8500,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GREENLEAF CENTER,VALDOSTA,GA,(229) 671-6601,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIDGEVIEW INSTITUTE MONROE,MONROE,GA,(678) 635-8730,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
THE QUEENS MEDICAL CENTER,HONOLULU,HI,(808) 538-9011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,(808) 442-5101,Acute Care Hospitals,Government - State,No,4,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
WAHIAWA GENERAL HOSPITAL,WAHIAWA,HI,(808) 621-8411,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average
HILO MEDICAL CENTER,HILO,HI,(808) 932-3000,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
ADVENTIST HEALTH CASTLE,KAILUA,HI,(808) 263-5500,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
KUAKINI MEDICAL CENTER,HONOLULU,HI,(808) 536-2236,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,(808) 432-0000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Above the national average,Same as the national average,Above the national average,Above the national average
WILCOX MEMORIAL HOSPITAL,LIHUE,HI,(808) 245-1103,Acute Care Hospitals,Government - Federal,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,(808) 322-9311,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Tripler AMC (FT Shafter),Honolulu,HI,(808) 433-2778,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
STRAUB CLINIC AND HOSPITAL,HONOLULU,HI,(808) 522-4000,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
PALI MOMI MEDICAL CENTER,AIEA,HI,(808) 486-6000,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,(808) 885-4444,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA,HI,(808) 338-9431,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
KAU HOSPITAL,PAHALA,HI,(808) 928-8331,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KOHALA HOSPITAL,KAPAAU,HI,(808) 889-6211,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,HI,(808) 553-5331,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KAHUKU MEDICAL CENTER,KAHUKU,HI,(808) 293-9221,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LANAI COMMUNITY HOSPITAL,LANAI CITY,HI,(808) 565-8450,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,HI,(808) 822-4961,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HALE HO'OLA HAMAKUA,HONOKAA,HI,(808) 932-4100,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KULA HOSPITAL,KULA,HI,(808) 878-1221,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,HONOLULU,HI,(808) 983-6000,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,HI,(808) 941-4466,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KAHI MOHALA,EWA BEACH,HI,(808) 671-8511,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST LUKES MAGIC VALLEY MEDICAL CENTER,TWIN FALLS,ID,(208) 814-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
ST JOSEPH REGIONAL MEDICAL CENTER,LEWISTON,ID,(208) 799-5300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST LUKE'S REGIONAL MEDICAL CENTER,BOISE,ID,(208) 381-2222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,BOISE,ID,(208) 367-2121,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,NAMPA,ID,(208) 205-0050,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
WEST VALLEY MEDICAL CENTER,CALDWELL,ID,(208) 459-4641,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
EASTERN IDAHO REGIONAL MEDICAL CENTER,IDAHO FALLS,ID,(208) 529-6210,Acute Care Hospitals,Proprietary,Yes,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
MADISON MEMORIAL HOSPITAL,REXBURG,ID,(208) 359-6900,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
PORTNEUF MEDICAL CENTER,POCATELLO,ID,(208) 239-1000,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
KOOTENAI HEALTH,COEUR D'ALENE,ID,(208) 625-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average
TREASURE VALLEY HOSPITAL,BOISE,ID,(208) 373-5000,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
MOUNTAIN VIEW HOSPITAL,IDAHO FALLS,ID,(208) 557-2700,Acute Care Hospitals,Physician,No,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average
NORTHWEST SPECIALTY HOSPITAL,POST FALLS,ID,(208) 262-2466,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
ST LUKE'S NAMPA MEDICAL CENTER,NAMPA,ID,(208) 505-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Above the national average,Same as the national average
GROVE CREEK MEDICAL CENTER,BLACKFOOT,ID,(208) 782-2900,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"IDAHO FALLS COMMUNITY HOSPITAL, LLC",IDAHO FALLS,ID,(208) 557-2711,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BOUNDARY COMMUNITY HOSPITAL,BONNERS FERRY,ID,(208) 267-4850,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTH CANYON MEDICAL CENTER,GOODING,ID,(208) 934-4433,Critical Access Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
NELL J REDFIELD MEMORIAL HOSPITAL,MALAD,ID,(208) 766-2231,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
POWER COUNTY HOSPITAL DISTRICT,AMERICAN FALLS,ID,(208) 226-3200,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
STEELE MEMORIAL MEDICAL CENTER,SALMON,ID,(208) 756-5600,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
WEISER MEMORIAL HOSPITAL,WEISER,ID,(208) 549-0370,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average
CASCADE MEDICAL CENTER,CASCADE,ID,(208) 382-4242,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CARIBOU MEMORIAL HOSPITAL,SODA SPRINGS,ID,(208) 547-3341,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST LUKE'S JEROME,JEROME,ID,(208) 814-9500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST LUKE'S ELMORE MEDICAL CENTER,MOUNTAIN HOME,ID,(208) 587-8401,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
ST LUKE'S MCCALL,MCCALL,ID,(208) 630-2395,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
TETON VALLEY HOSPITAL,DRIGGS,ID,(208) 354-2383,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHOSHONE MEDICAL CENTER,KELLOGG,ID,(208) 784-1221,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Above the national average,Not Available,Not Available
SYRINGA GENERAL HOSPITAL,GRANGEVILLE,ID,(208) 983-1700,Critical Access Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average
BEAR LAKE MEMORIAL HOSPITAL,MONTPELIER,ID,(208) 847-1630,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
BENEWAH COMMUNITY HOSPITAL,ST MARIES,ID,(208) 245-5551,Critical Access Hospitals,Government - Local,Yes,4,Not Available,Not Available,Same as the national average,Not Available,Not Available
VALOR HEALTH,EMMETT,ID,(208) 365-3561,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MINIDOKA MEMORIAL HOSPITAL,RUPERT,ID,(208) 436-0481,Critical Access Hospitals,Government - Local,Yes,4,Not Available,Not Available,Above the national average,Above the national average,Same as the national average
CLEARWATER VALLEY HOSPITAL & CLINICS,OROFINO,ID,(208) 476-4555,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
ST MARYS HOSPITAL AND CLINICS,COTTONWOOD,ID,(208) 962-3251,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
FRANKLIN COUNTY MEDICAL CENTER,PRESTON,ID,(208) 852-0137,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available
ST LUKE'S WOOD RIVER MEDICAL CENTER,KETCHUM,ID,(208) 727-8800,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average,Above the national average,Not Available
LOST RIVERS MEDICAL CENTER,ARCO,ID,(208) 252-7654,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BINGHAM MEMORIAL HOSPITAL,BLACKFOOT,ID,(208) 785-3804,Critical Access Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
CASSIA REGIONAL HOSPITAL,BURLEY,ID,(208) 678-4444,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
GRITMAN MEDICAL CENTER,MOSCOW,ID,(208) 882-4511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
BONNER GENERAL HOSPITAL,SANDPOINT,ID,(208) 263-1441,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available
INTERMOUNTAIN HOSPITAL,BOISE,ID,(208) 377-8400,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
